school,conference,color,gradientColor,logos
Abilene Christian,,#4e2683,#d5d8ea,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2000.png']"
Air Force,Mountain West,#004a7b,#cedbe9,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png']"
Akron,Mid-American,#00285e,#ced8e6,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png']"
Alabama,SEC,#690014,#d8d4df,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']"
Alabama A&M,,#790000,#dad4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2010.png']"
Alabama State,,#e9a900,#e5e5dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2011.png']"
Albany,,#3D2777,#d4d8e9,"['http://a.espncdn.com/i/teamlogos/ncaa/500/399.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/399.png']"
Alcorn State,,#4b0058,#d5d4e6,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2016.png']"
Appalachian State,Sun Belt,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png']"
Arizona,Pac-12,#002449,#ced8e4,"['http://a.espncdn.com/i/teamlogos/ncaa/500/12.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/12.png']"
Arizona State,Pac-12,#942139,#dcd7e3,"['http://a.espncdn.com/i/teamlogos/ncaa/500/9.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png']"
Arkansas,SEC,#9c1831,#ddd6e2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/8.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png']"
Arkansas-Pine Bluff,,#e0aa0f,#e4e5de,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2029.png']"
Arkansas State,Sun Belt,#e81018,#e5d6df,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2032.png']"
Army,FBS Independents,#ce9c00,#e2e4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/349.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/349.png']"
Auburn,SEC,#03244d,#ced8e5,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2.png']"
Austin Peay,,#8e0b0b,#dcd5de,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2046.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2046.png']"
Azusa Pacific,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2049.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2049.png']"
Ball State,Mid-American,#DA0000,#e3d4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2050.png']"
Baylor,Big 12,#004834,#cedbe2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/239.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png']"
Bemidji State,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/132.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/132.png']"
Bethune-Cookman,,#7b1831,#dad6e2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2065.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2065.png']"
Boise State,Mountain West,#09347A,#cfd9e9,"['http://a.espncdn.com/i/teamlogos/ncaa/500/68.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/68.png']"
Boston College,ACC,#88001a,#dbd4e0,"['http://a.espncdn.com/i/teamlogos/ncaa/500/103.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/103.png']"
Bowling Green,Mid-American,#2b1000,#d2d6dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/189.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/189.png']"
Brown,,#411e09,#d4d7de,"['http://a.espncdn.com/i/teamlogos/ncaa/500/225.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/225.png']"
Bryant,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2803.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2803.png']"
Bucknell,,#000060,#ced4e7,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2083.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2083.png']"
Buffalo,Mid-American,#041A9B,#ced7ec,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2084.png']"
Butler,,#0d1361,#cfd6e7,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2086.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2086.png']"
BYU,FBS Independents,#001E4C,#ced7e5,"['http://a.espncdn.com/i/teamlogos/ncaa/500/252.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/252.png']"
California,Pac-12,#031522,#ced6e0,"['http://a.espncdn.com/i/teamlogos/ncaa/500/25.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/25.png']"
Cal Poly,,#1E4D2B,#d1dce1,"['http://a.espncdn.com/i/teamlogos/ncaa/500/13.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/13.png']"
Campbell,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2097.png']"
Central Arkansas,,#a7a9ac,#dee5ee,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2110.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2110.png']"
Central Connecticut,,#1B49A2,#d0dbed,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2115.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2115.png']"
Central Michigan,Mid-American,#6a0032,#d8d4e2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2117.png']"
Chadron State,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2123.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2123.png']"
Charleston Southern,,#2e3192,#d2d9ec,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2127.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2127.png']"
Charlotte,Conference USA,#0C562D,#cfdde1,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2429.png']"
Chattanooga,,#00386b,#cedae8,"['http://a.espncdn.com/i/teamlogos/ncaa/500/236.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/236.png']"
Cincinnati,American Athletic,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2132.png']"
Clemson,ACC,#F66733,#e6dee2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']"
Coastal Carolina,Sun Belt,#007073,#cedfe8,"['http://a.espncdn.com/i/teamlogos/ncaa/500/324.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/324.png']"
Colgate,,#8B011D,#dcd4e0,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2142.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2142.png']"
Colorado,Pac-12,#d1c57e,#e3e8ea,"['http://a.espncdn.com/i/teamlogos/ncaa/500/38.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/38.png']"
Colorado State,Mountain West,#004537,#cedbe2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/36.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/36.png']"
Columbia,,#174785,#d0dbea,"['http://a.espncdn.com/i/teamlogos/ncaa/500/171.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/171.png']"
Connecticut,American Athletic,#001d40,#ced7e3,"['http://a.espncdn.com/i/teamlogos/ncaa/500/41.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/41.png']"
Cornell,,#d60027,#e3d4e1,"['http://a.espncdn.com/i/teamlogos/ncaa/500/172.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/172.png']"
Dartmouth,,#005730,#cedde2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/159.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/159.png']"
Davidson,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2166.png']"
Dayton,,#004B8D,#cedbeb,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2168.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2168.png']"
Delaware,,#033594,#ced9ec,"['http://a.espncdn.com/i/teamlogos/ncaa/500/48.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/48.png']"
Delaware State,,#FF3630,#e7d9e2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2169.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2169.png']"
Delta State,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2170.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2170.png']"
Drake,,#004477,#cedbe9,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2181.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2181.png']"
Duke,ACC,#001A57,#ced7e6,"['http://a.espncdn.com/i/teamlogos/ncaa/500/150.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/150.png']"
Duquesne,,#002D62,#ced8e7,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2184.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2184.png']"
East Carolina,American Athletic,#4b1869,#d5d6e7,"['http://a.espncdn.com/i/teamlogos/ncaa/500/151.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/151.png']"
Eastern Illinois,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2197.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2197.png']"
Eastern Kentucky,,#660819,#d8d5df,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2198.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2198.png']"
Eastern Michigan,Mid-American,#00331b,#ced9e0,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2199.png']"
Eastern Washington,,#a10022,#ded4e0,"['http://a.espncdn.com/i/teamlogos/ncaa/500/331.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/331.png']"
East Tennessee State,,#002d61,#ced8e7,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2193.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2193.png']"
Elon,,#020303,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2210.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2210.png']"
Emporia State,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2214.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2214.png']"
Fairmont State,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2986.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2986.png']"
Faulkner,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2219.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2219.png']"
Ferris State,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2222.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2222.png']"
Florida,SEC,#0021A5,#ced7ed,"['http://a.espncdn.com/i/teamlogos/ncaa/500/57.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/57.png']"
Florida A&M,,#F89728,#e6e3e1,"['http://a.espncdn.com/i/teamlogos/ncaa/500/50.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/50.png']"
Florida Atlantic,Conference USA,#004B85,#cedbea,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2226.png']"
Florida International,Conference USA,#001538,#ced6e3,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2229.png']"
Florida State,ACC,#782F40,#dad9e3,"['http://a.espncdn.com/i/teamlogos/ncaa/500/52.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/52.png']"
Florida Tech,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/53.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/53.png']"
Fordham,,#830032,#dbd4e2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2230.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2230.png']"
Fort Hays State,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2231.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2231.png']"
Fresno State,Mountain West,#c41230,#e1d6e2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/278.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/278.png']"
Furman,,#4A2184,#d5d7ea,"['http://a.espncdn.com/i/teamlogos/ncaa/500/231.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/231.png']"
Gallaudet,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/417.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/417.png']"
Gardner-Webb,,#c12535,#e1d8e2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2241.png']"
Georgetown,,#110E42,#cfd5e4,"['http://a.espncdn.com/i/teamlogos/ncaa/500/46.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/46.png']"
Georgia,SEC,#CC0000,#e2d4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']"
Georgia Southern,Sun Belt,#003775,#ced9e9,"['http://a.espncdn.com/i/teamlogos/ncaa/500/290.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/290.png']"
Georgia State,Sun Belt,#1e539a,#d1dcec,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2247.png']"
Georgia Tech,ACC,#00223e,#ced7e3,"['http://a.espncdn.com/i/teamlogos/ncaa/500/59.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/59.png']"
Grambling,,#ee8601,#e5e1dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2755.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2755.png']"
Grand Valley State,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/125.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/125.png']"
Hampton,,#0067AC,#cedeee,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2261.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2261.png']"
Harvard,,#990000,#ddd4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/108.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/108.png']"
Hawai'i,Mountain West,#003420,#ced9e0,"['http://a.espncdn.com/i/teamlogos/ncaa/500/62.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/62.png']"
Henderson State,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2271.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2271.png']"
Holy Cross,,#0a0a0a,#cfd5de,"['http://a.espncdn.com/i/teamlogos/ncaa/500/107.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/107.png']"
Houston,American Athletic,#C90822,#e2d5e0,"['http://a.espncdn.com/i/teamlogos/ncaa/500/248.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/248.png']"
Houston Baptist,,#00539c,#cedced,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2277.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2277.png']"
Howard,,#9e0b0e,#ddd5de,"['http://a.espncdn.com/i/teamlogos/ncaa/500/47.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/47.png']"
Idaho,,#000000,#ced4dd,"['http://a.espncdn.com/i/teamlogos/ncaa/500/70.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/70.png']"
